,Food Code,Food Name,water(g),protein(g),TotalFat(g),TotalFibre(g),Carbohydrate(g),Energy(kJ),VitaminB1(mg),VitaminB2(mg),VitaminB3(g),VitaminB5(mg),VitaminB6(mg),VitaminB7(ug),VitaminB9(ug),Arsenic(ug),Calcium(mg),Cobalt(mg),Copper(mg),Iron(mg),Lead(mg),Magnesium(mg),Mercury(ug),Phophorus(mg),Potassium(mg),Sodium(mg),Zinc(mg),TotalStarch(g),Fructose(g),Glucose(g),Sucrose(g),TotalFreeSugars(g)
,P010,Chakla (Rachycentron canadum),78.36±0.07,20.21±0.70,1.68±1.00,,,406±36,0.06±0.01,0.04±0.02,2.37±0.75,0.67±0.03,99.11±11.25,572±107,,,6.55±1.09,0.001±0.001,0.38±0.73,0.41±0.10,0.001±0.000,24.71±1.74,,219±59.3,343±43.7,51.41±11.15,0.57±0.38,,,,,
,P011,Chappal (Aluterus monoceros ),80.61,17.17,0.67,,,317,0.06,0.02,3.95,0.18,185,776,,,10.22,,0.43,1.29,,25.85,,203,306,38.12,0.67,,,,,
,P012,Chelu (Elagatis bipinnulata),76.36,20.02,0.7,,,366,0.06,0.02,2.19,1.07,161,677,,,8.17,,0.13,0.67,,31.68,,252,406,37.6,0.41,,,,,
,P013,Chembali (Lutjanus quinquelineatus),77.54,20.06,1.77,,,406,0.03,0.06,1.8,0.27,146,1221,,,23.72,,0.03,0.31,,30.55,,211,323,38.98,0.32,,,,,
,P014,Eri meen (Pristipomoides filamentosus),76.54,22.3,2.02,,,454,0.04,0.03,2.88,0.57,190,579,,,12.45,,0.02,0.46,,30.99,,243,402,41.19,0.31,,,,,
,P015,Gobro (Epinephelus diacanthus),78.84,19.37,0.88,,,362,0.07,0.02,1.27,0.24,43.72,302,,,24.18,0.001,0.1,0.36,,28.23,,170,316,52.68,0.37,,,,,
,P016,Guitar fish (Rhinobatus prahli),75.73,22.56,0.44,,,400,0.03,0.02,2.01,0.15,139,1532,,,17.32,0.001,0.03,0.44,,27.45,,230,342,70.81,0.35,,,,,
,P017,Hilsa (Tenualosa ilisha),60.09,21.8,18.49,,,1083,0.01,0.04,2.85,2.33,120,2875,,0.18,19.82,0.001,0.15,1.19,,30.62,0.52,278,341,80.88,0.64,,,,,
,P018,Jallal (Arius sp.),77.5,21.55,1.46,,,420,0.02,0.02,3.24,0.91,89.14,627,,,14.73,,0.03,0.46,,29.12,,204,368,74.33,0.83,,,,,
,P019,Jathi vela meen (Lethrinus lentjan),75.66,22.45,1.92,,,453,0.12,0.02,2.82,0.29,67.45,828,,,6.65,0.001,0.02,0.28,0.001,31.12,,249,467,30.53,0.35,,,,,
,P020,Kadal bral (Synodus indicus),79.66,18.72,1.34,,,368,0.01,0.06,1.76,0.19,89.19,1178,,,73.92,,0.02,0.31,,29.55,,219,366,53.66,0.38,,,,,
,P021,Kadali (Nemipterus mesoprion),73.74,22.07,4.2,,,530,0.04,0.01,1.86,0.32,184,1317,,,8.62,,0.02,0.38,,26.23,,207,390,36.06,0.35,,,,,
,P022,Kalamaara (Leptomelanosoma indicum),75.5,20.89,4.54,,,523,0.06,0.03,2.22,0.65,160,657,,,7.54,0.001,0.03,0.5,0.009,34.29,,227,420,29.33,0.38,,,,,
,P023,Kalava (Epinephelus coioides),80.02,19.38,1.2,,,374,0.06,0.05,2.24,0.22,135,1194,,,10.66,,0.72,0.26,0.004,22.87,,177,279,40.14,0.82,,,,,
,P024,Kanamayya (Lutjanus rivulatus),77.59,20.19,0.65,,,367,0.06,0.01,1.22,1.46,83.86,1167,,,7.72,,0.02,0.36,,27.07,,194,346,50.53,0.31,,,,,
,P025,Kannadi paarai (Alectis indicus),76.25±0.65,22.09±0.24,1.27±0.40,,,423±11,0.04±0.02,0.03±0.00,1.81±0.27,1.07±0.07,67.09±9.46,561±115,,,9.04±2.54,0.001±0.001,0.03±0.01,0.31±0.06,,32.36±2.43,,252±47.7,432±47.8,59.57±15.15,0.40±0.05,,,,,
,P026,Karimeen (Etroplus suratensis),78.66,19.68,1.38,,,386,0.08,0.05,1.15,0.23,90.62,1199,,,11.73,0.001,,0.6,,28.49,,192,452,23.72,0.46,,,,,
,P027,Karnagawala (Anchoa hepsetus),79.22,19.52,0.84,,,363,0.07,0.01,0.98,1.39,60.47,377,,,60.03,,0.01,0.44,,44.3,,178,228,63.27,0.41,,,,,
,P028,Kayrai (Thunnus albacores),72.69,20.15,3,,,454,0.08,0.07,5.18,1.29,264,884,,,6,,0.08,0.98,,31.74,,266,321,25.12,0.39,,,,,
,P029,Kiriyan (Atule mate),72.39,22.49,4.7,,,556,0.04,0.13,2.75,1.36,121,604,,,19.42,,0.09,1,,31.98,,214,277,35.88,0.82,,,,,
,P030,Kite fish (Mobula kuhlii),77.61,23.07,0.56,,,413,0.04,0.07,2.5,0.45,127,1334,,,11.02,,0.04,1.38,,28.46,,231,387,59.03,0.55,,,,,
,P031,Korka (Terapon jarbua),72.25,23.72,3.36,,,528,0.03,0.17,3.42,0.4,316,751,,,11.12,,1.22,0.73,0.004,28.55,,229,349,43.3,1.47,,,,,
,P032,Kulam paarai (Carangoides fulvoguttatus),73.44,21.62,3.6,,,501,0.06,0.01,1.97,0.57,218,699,,,15.17,0.001,0.05,0.5,,30.79,,244,366,49.17,0.52,,,,,
,P033,Maagaa (Polynemus plebeius),79.23,20.11,0.67,,,366,0.02,0.01,0.73,0.4,106,695,,,8.42,,0.02,0.23,,30.32,,181,375,52.28,0.35,,,,,
,P034,Mackerel (Rastrelliger kanagurta),74.55±1.14,21.51±0.34,1.53±0.93,,,423±40,0.07±0.02,0.10±0.03,2.67±2.00,1.35±0.08,100±2.9,713±112,,,31.27±15.90,0.001±0.001,0.12±0.03,1.46±0.63,0.003±0.000,37.46±10.04,,231±18.6,309±36.8,83.01±12.99,0.67±0.11,,,,,
,P035,Manda clathi (Naso reticulatus),76.32,21.27,1,,,398,0.03,0.02,2.77,1.02,87.58,738,,,11.48,,0.01,0.43,,37.88,,320,431,58.5,0.37,,,,,
,P036,Matha (Acanthurus mata),79.81,21.17,0.79,,,389,0.05,0.05,2.37,1.4,42.45,1157,,,14.02,0.001,0.02,0.32,,40.24,,263,450,62.58,0.32,,,,,
,P037,Milk fish (Chanos chanos),72.22,23.66,1.09,,,442,0.05,0.07,5.21,1.03,76.51,1132,,,29.18,,0.45,1.35,0.002,35.38,,292,301,42.98,2.43,,,,,
,P038,Moon fish (Mene maculata),74.21,20.74,4.69,,,526,0.07,0.07,1.83,1.72,136,772,,,29.18,0.001,0.16,1.67,,37.14,,169,157,65.17,0.93,,,,,
,P039,Mullet (Mugil cephalus),76.12±0.33,20.23±1.30,1.32±0.27,,,393±26,0.05±0.02,0.09±0.11,2.52±2.20,1.11±0.06,135±15.2,1189±267,,,35.20±5.83,0.001±0.000,0.06±0.05,1.31±0.98,,34.09±4.19,,222±35.2,331±18.9,66.09±6.91,0.45±0.13,,,,,
,P040,Mural (Tylosurus crocodilus crocodilus),78.96,19.04,0.58,,,345,0.06,0.03,2.65,0.37,67.24,1146,,,8.61,,0.02,0.24,,27.1,,224,330,110,0.71,,,,,
,P041,Myil meen (Istiophorus platypterus),75.57,22.89,0.56,,,410,0.04,0.04,4.41,0.71,119,808,,,7.2,0.002,0.12,1.2,,30.08,,268,365,61.96,0.58,,,,,
,P042,Nalla bontha (Epinephelus sp.),79.32,19.82,0.72,,,364,0.04,0.01,0.56,0.22,83.41,1714,,,9.04,,0.02,0.31,,29.2,,197,403,57.87,0.3,,,,,
,P043,Narba (Caranx sexfasciatus),76.37,21.95,1.6,,,432,0.05,0.04,1.51,0.75,153,1303,,,7.21,,0.1,1.11,0.004,26.33,,235,384,49.51,0.45,,,,,
,P044,Paarai (Caranx heberi),75.77,21.58,1.84,,,435,0.03,0.02,2.86,0.27,173,1612,,,13.52,,0.03,0.69,,27.59,,284,384,45.22,0.45,,,,,
,P045,Padayappa (Canthidermis maculata),79.18,19.7,0.69,,,360,0.03,0.05,4.53,0.68,68.93,1337,,,9.83,0.001,0.58,0.33,0.001,28.98,,256,490,33.87,1.48,,,,,
,P046,Pali kora (Panna microdon),78.63,19.25,1.81,,,394,0.03,0.05,0.78,0.43,126,887,,,17.03,,0.01,0.42,,28,,195,364,54.85,0.38,,,,,
,P047,Pambada (Lepturacanthus savala),74.67,21.95,4.44,,,537,0.04,0.03,1.96,0.64,76.49,1163,,,16.53,0.001,0.02,0.38,,29.87,,170,263,82.65,0.41,,,,,
,P048,Pandukopa (Pseudosciaena manchurica),77.46,19.73,0.65,,,360,0.04,0.02,0.54,0.42,262,1651,,,12.18,,0.03,0.47,,29.15,,203,427,49.15,0.33,,,,,
,P049,Parava (Lactarius lactarius),77.19,21.5,2.74,,,467,0.03,0.03,0.98,0.09,153,796,,,29.12,,0.02,3.58,,32.52,,194,363,84.08,0.56,,,,,
,P050,Parcus (Psettodes erumei),79.01,19.87,0.62,,,361,0.04,0.02,0.88,0.21,202,488,,,21.08,,0.02,0.28,,28.84,,218,446,64.38,0.33,,,,,
,P051,Parrot fish (Scarus ghobban),76.84,20.82,0.57,,,375,0.06,0.02,1.89,1.15,132,556,,,9.21,0.003,0.06,0.38,,28.88,,316,432,51.79,0.31,,,,,
,P052,Perinkilichai (Pinjalo pinjalo),78.33,20.89,0.87,,,387,0.08,0.01,1.48,0.43,119,511,,,7.25,,0.02,0.29,,29.01,,236,365,34.16,0.36,,,,,
,P053,Phopat (Coryphaena hippurus),76.42±0.14,22.05±0.75,1.33±0.47,,,424±8,0.06±0.02,0.04±0.02,4.28±1.13,1.13±0.06,131±11,502±163,,,9.32±3.09,,0.05±0.01,0.47±0.05,0.015±0.006,32.27±2.78,,258±21.3,439±12.1,36.20±2.65,0.36±0.06,,,,,
,P054,Piranha (Pygopritis sp.),76.15,20.46,5.43,,,549,0.04,0.05,0.97,1.04,67.91,774,,,14.85,0.001,,0.5,,23.41,,170,323,38.97,0.43,,,,,
,P055,"Pomfret, black (Parastromateus niger)",74.43,18.91,4.83,,,515,0.06,0.02,2.61,0.75,76,2056,,1.52,18.1,,0.07,0.78,,28.22,1.7,195,295,69.09,0.5,,,,,
,P056,"Pomfret, snub nose (Trachinotus blochii)",77.81,21.05,0.46,,,375,0.08,0.05,1.94,0.61,77.51,651,,,6.57,,0.03,0.41,,29.85,,247,483,36.1,0.92,,,,,
,P057,"Pomfret, white (Pampus argenteus)",75.91,19.02,5.12,,,513,0.05,0.03,1.38,1.11,130,961,,,13.64,0.004,0.05,0.31,,32.2,,211,255,46.09,0.53,,,,,
,P058,Pranel (Gerres sp.),79.54,19.69,1.89,,,405,0.04,0.13,3.37,0.76,120,1251,,,21.88,0.001,0.03,0.41,,26.26,,166,251,52.37,0.55,,,,,
,P059,Pulli paarai (Gnathanodon speciosus),75.99,20.06,1.55,,,399,0.05,0.04,1.94,1.13,101,1387,,,21.84,0.001,0.04,0.35,,31.12,,232,335,58.56,0.52,,,,,
,P060,Queen fish (Scomberoides commersonianus),76.63±0.23,20.97±0.31,1.17±0.20,,,400±12,0.06±0.02,0.04±0.03,3.24±1.34,0.63±0.04,118±2.8,1073±177,,,5.75±1.87,,0.05±0.01,0.49±0.09,,28.10±2.72,,235±17.8,440±17.8,48.93±9.31,0.35±0.02,,,,,
,P061,Raai fish (Lobotes surinamensis),77.14,21.61,1.69,,,430,0.07,0.02,1.63,0.31,108,1638,,,11.09,0.001,0.03,0.46,,21.99,,213,347,47.62,0.36,,,,,
,P062,Raai vanthu (Epinephelus chlorostigma),79.95,19.39,2.17,,,410,0.03,0.01,0.72,0.31,112,1562,,,8.72,,0.03,0.36,,27.39,,178,311,50.83,0.35,,,,,
,P063,Rani (Pink perch),78.55,18.83,1.49,,,377,0.01,,1.33,0.53,75.7,1217,,0.9,37.9,,0.08,0.87,,29.91,4.53,208,335,63.17,0.4,,,,,
,P064,"Ray fish, bow head, spotted (Rhina ancylostoma)",80.3,19.03,0.7,,,349,0.05,0.03,1.99,0.23,120,1244,,,9.64,,0.03,0.25,,19.25,,196,353,105,0.49,,,,,
,P065,Red snapper (Lutjanus argentimaculatus),76.28,22.79,1.34,,,437,0.02,0.02,3.14,0.52,66.93,1386,,,8.39,,0.03,0.37,,32.65,,204,446,59.89,0.34,,,,,
,P066,"Red snapper, small (Priacanthus hamrur)",76.31,21.5,2.3,,,451,0.06,0.03,3.43,0.96,172,906,,,17.43,,0.16,0.57,,31.03,,204,327,38.97,0.4,,,,,
,P067,Sadaya (Platax orbicularis ),75.53,20.68,2.97,,,462,0.07,0.38,2.45,1.07,125,459,,,9.08,,0.16,0.47,,26.27,,221,360,49.41,0.68,,,,,
,P068,Salmon (Salmo salar),67.84,20.97,9.86,,,721,0.07,0.06,4.45,1.15,150,1136,,,24.3,,0.08,0.98,,31.18,,211,345,20.25,0.51,,,,,
,P069,Sangada (Nemipterus japanicus),78.51,20.26,2.67,,,443,0.01,0.02,0.68,0.22,101,1675,,,7.9,0.001,0.05,0.99,,28.37,,211,217,77.82,0.32,,,,,
,P070,Sankata paarai (Caranx ignobilis),74.88,21.87,1.68,,,434,0.03,0.06,3.7,1.19,181,1076,,,6.03,,0.05,0.99,,27.53,,246,379,22.33,0.39,,,,,
,P071,Sardine (Sardinella longiceps),72.29,17.91,8.99,,,637,0.01,0.06,0.91,0.77,140,2266,,0.08,42.26,,0.07,0.83,,24.39,1.49,191,228,38.49,0.89,,,,,
,P072,Shark (Carcharhinus sorrah),72.82,21.6,0.83,,,398,0.03,0.04,2.68,1.15,110,857,,,8.44,0.007,0.23,0.38,0.002,32.58,,263,372,63.63,0.46,,,,,
,P073,"Shark, hammer head (Sphyrna mokarran)",74.61,23.4,0.8,,,432,0.02,0.04,2.72,0.66,73.11,2006,,0.88,7.92,,0.03,0.86,,25.11,3.74,200,304,53.55,0.4,,,,,
,P074,"Shark, spotted (Stegostoma fasciatum)",78.83,20.95,0.75,,,384,0.05,0.05,1.02,0.67,76.56,1323,,,8.1,,0.03,0.54,,19.05,,179,318,131,0.55,,,,,
,P075,Shelavu (Sphyraena jello),74.60±1.68,22.46±1.34,1.74±0.50,,,446±41,0.05±0.01,0.06±0.03,2.10±0.71,0.44±0.05,110±6.5,790±101,,,11.42±1.81,,0.04±0.03,0.52±0.27,,29.90±6.95,,251±28.2,453±51.9,38.73±5.26,0.42±0.12,,,,,
,P076,Silan (Silonia silondia),70.12,22.72,6.68,,,633,0.02,0.07,1.27,0.9,122,2438,,1.2,28.82,0.001,0.08,0.56,0.004,22.64,0.21,163,223,29.39,0.58,,,,,
,P077,Silk fish (Beryx sp.),77.61,20.65,1.53,,,408,0.03,0.04,2.24,0.17,169,802,,,10.46,,0.02,0.3,,27.13,,211,440,41.57,0.34,,,,,
,P078,Silver carp (Hypophthalmichthys molitrix),72.47,21.71,5.17,,,555,0.02,0.02,1.87,1.33,136,2462,,9.61,85.55,,0.02,0.58,,24.97,1.81,187,249,19.6,0.57,,,,,
,P079,Sole fish (Cynoglossus arel),80.18,19.05,1.18,,,367,0.01,0.02,0.47,0.91,68.89,1393,,,47.28,,0.02,0.33,,27.96,,123,199,74.57,0.17,,,,,
,P080,Stingray (Dasyatis pastinaca),75.67,23.98,0.68,,,408,0.03,0.02,2.74,0.98,214,2559,,0.44,9.16,,0.03,0.74,0.003,24.61,1.54,174,270,64.14,0.44,,,,,
,P081,Tarlava (Drepane punctata),76.76,21.72,1.2,,,414,0.04,0.04,2.13,0.25,149,1380,,,11.68,0.001,0.03,0.53,,30.1,,199,370,67.4,0.31,,,,,
,P082,Tholam (Plectorhinchus schotaf),76.2,20.78,2.13,,,432,0.04,0.03,2.74,1.22,160,824,,,11.4,,0.05,0.6,,26.14,,241,382,28,0.36,,,,,
,P083,Tilapia (Oreochromis niloticus),79.57,18.48,1.08,,,349,0.02,0.18,1.4,0.78,176,829,,0.65,99.39,0.001,0.04,2.84,0.011,24.56,,184,255,52.55,0.88,,,,,
,P084,Tuna (Euthynnus affinis),72.12±0.42,24.50±0.27,1.44±0.42,,,470±16,0.06±0.02,0.07±0.03,4.73±1.83,1.34±0.13,68.24±14.90,1374±204,,,9.82±1.65,0.001±0.001,0.27±0.13,1.60±0.50,0.001±0.000,35.85±1.59,,292±39.6,357±20.6,52.89±10.16,0.69±0.20,,,,,
,P085,"Tuna, striped (Katsuwonus pelamis)",77.76,21.28,1.12,,,403,0.07,0.15,5.04,1.27,122,789,,,6.45,,0.11,1.43,,26.02,,209,273,22.6,0.46,,,,,
,P086,Valava (Chirocentrus nudus),77.25,21.8,1.06,,,410,0.13,0.02,0.86,0.61,104,1438,,,37.06,,0.03,0.24,,39.05,,229,365,91.91,0.42,,,,,
,P087,Vanjaram (Scomberomorus commerson ),72.3,22.28,5.18,,,570,0.03,0.07,3.46,1.22,163,1545,,0.22,9.85,0.007,0.08,0.41,,36.73,,302,473,34.85,0.74,,,,,
,P088,Vela meen (Aprion virescens),71.82,22.16,4.34,,,537,0.05,0.04,5.15,0.22,97.92,1632,,,14.9,0.009,0.08,0.64,,31.93,,280,387,38.15,0.36,,,,,
,P089,Vora (Siganus javus),76.94,20.14,2.14,,,422,0.06,0.07,3.72,0.28,121,1480,,,7.64,,0.01,0.27,,32.27,,246,401,43.66,0.29,,,,,
,P090,Whale shark (Galeocerdo cuvier),77.59,21.83,0.82,,,401,0.06,0.04,2.9,0.84,125,1605,,,8.32,0.002,0.1,0.33,,20.61,,274,365,116,0.38,,,,,
,P091,Xiphinis (Xiphias gladius),79.22,19.82,0.88,,,370,0.06,0.05,3.24,0.21,65.79,820,,,12.08,,0.03,0.54,,26.38,,255,306,66.21,0.56,,,,,
,P092,"Eggs, Cat fish (Ompok bimaculatus)",69.34,24.68,5.28,,,600,,0.19,1.09,0.83,148,2059,,1.11,61.69,0.005,0.08,6.65,,59.93,2.26,445,252,54.83,3.11,,,,,
Q MARINE SHELLFISH,Q001,Crab (Menippe mercenaria),79.77,10.23,1.41,,,343,0.01,0.1,1.66,0.71,120,2304,,0.13,128,0.018,0.42,1.1,,38.04,4.61,100,171,244,0.76,,,,,
,Q002,"Crab, sea (Portunus sanguinolentus)",79.67,15.36,0.6,,,283,0.05,0.06,0.97,1.53,117,774,,,333,0.012,0.84,0.98,,80.04,,193,252,313,3.07,,,,,
,Q003,"Lobster, brown (Thenus orientalis)",81.48,15.96,0.56,,,292,0.01,0.01,0.63,1.44,216,1129,,,73.06,0.003,0.12,0.77,,45.34,,223,212,140,1.16,,,,,
,Q004,"Lobster, king size (Thenus orientalis)",77.77,18.54,0.78,,,375,0.01,0.02,1.87,1.25,156,1997,,1.08,66.44,0.001,0.49,0.35,0.009,50.16,14.58,261,315,191,1.92,,,,,
,Q005,Mud crab (Scylla tranquebarica),83.1,10,0.55,,,190,0.06,0.14,0.6,1.3,180,1383,,,201,0.001,1.23,0.87,,46.92,,153,227,305,3.3,,,,,
,Q006,Oyster (Crassostrea sp.),82.5,9.51,2.44,,,252,0.06,0.07,0.71,1.18,145,1612,,,126,0.011,3.41,0.9,,22.24,,170,122,41.01,7.35,,,,,
,Q007,"Tiger prawns, brown (Solenocera crassicornis)",82.41,14.85,0.56,,,273,0.01,0.03,1.03,1.68,104,1537,,,37.81,0.001,0.32,0.73,,45.93,,189,141,188,1.1,,,,,
,Q008,"Tiger Prawns, orange (Penaeus monodon)",81.48,14.25,0.74,,,270,0.03,0.03,1.18,1.47,112,807,,,71.89,,0.41,0.39,,30.5,,191,140,61.05,1.16,,,,,
R MARINE MOLLUSKS,R001,"Clam, green shell (Perna viridis)",80.07,12.14,0.98,,,243,0.06,0.1,0.96,1.14,96,907,,,121,0.027,0.25,1.01,,73.64,,128,152,322,1.64,,,,,
,R002,"Clam, white shell, ribbed (Meretrix meretrix)",80.27,11.82,1.34,,,250,0.06,0.11,0.9,0.97,108,900,,,50,0.031,0.31,0.94,,86.64,,192,245,404,1.16,,,,,
,R003,Octopus (Octopus vulgaris),80.45,14.71,1.12,,,334,0.05,0.05,1.18,0.94,87.71,2087,,0.34,22.1,0.035,6.72,1.08,,50.92,1.37,131,181,230,4.07,,,,,
,R004,"Squid, black (Loligo sp.)",80.59,16.1,1.07,,,335,0.02,0.04,1.04,0.72,236,1233,,0.47,22.98,0.001,1.09,0.5,0.023,41.99,0.95,173,162,179,1.24,,,,,
,R005,"Squid, hard shell (Sepia pharaonis)",80.52,16.82,0.93,,,320,0.02,0.02,0.65,1.22,41.5,622,,,8.73,,0.1,0.62,0.001,35.46,,173,116,99.14,1.3,,,,,
,R006,"Squid, red (Loligo duvaucelii)",80.85,16.25,1.44,,,329,0.03,0.02,0.71,0.95,101,1300,,,14.15,,0.15,0.26,,35.74,,167,134,121,0.95,,,,,
,R007,"Squid, white, small (Uroteuthis duvauceli )",79.38,17.41,1.15,,,353,0.01,0.03,0.71,0.77,118,1833,,0.85,36.46,0.009,1.1,0.39,0.022,38.53,1.67,151,134,154,1.64,,,,,
S FRESHWATER FISH AND SHELLFISH,S001,Cat fish (Tandanus tandanus),77.23±0.91,15.86±3.65,6.24±3.03,,,518±84,0.01±0.00,0.07±0.03,1.74±0.26,1.12±0.12,114±12.3,1395±168,,1.68±0.71,21.99±8.75,,0.03±0.01,0.82±0.19,0.012±0.001,18.78±6.65,1.89±2.43,157±58.6,250±83.0,28.29±11.65,0.71±0.24,,,,,
,S002,Catla (Catla catla),78.43±0.71,17.94±1.36,2.15±0.34,,,394±6,0.01±0.00,0.03±0.01,2.21±0.19,1.00±0.05,116±13.5,1926±277,,7.70±3.37,43.53±3.91,0.003±0.003,0.06±0.02,1.14±0.35,0.005±0.003,25.58±0.87,1.59±1.06,182±7,301±29.0,36.56±6.32,0.68±0.13,,,,,
,S003,Freshwater Eel (Anguilla anguilla),75.57,20.41,2.63,,,451,,0.31,2.3,1.52,106,1294,,1.81,52.99,,2.72,1.54,0.606,42.5,3.97,361,450,88.67,2.23,,,,,
,S004,Gold fish (Carassius auratus),79.07,16.91,2.94,,,396,,0.05,1.86,1.13,225,2457,,2.84,47.89,,0.03,0.76,,21.66,2.29,185,243,27.53,1.69,,,,,
,S005,Pangas (Pangasianodon hypophthalmus),68.50±1.01,17.12±1.62,16.77±0.91,,,852±24,,0.05±0.01,1.28±0.21,0.66±0.06,229±17.2,1323±305,,2.22±1.06,11.19±1.58,,0.04±0.01,0.69±0.16,0.004±0.000,25.09±4.41,0.26±0.20,179±37.0,282±78.6,37.42±9.50,0.69±0.16,,,,,
,S006,Rohu (Labeo rohita),76.34±0.28,19.71±0.57,2.39±0.64,,,428±12,,0.04±0.01,2.33±0.43,1.18±0.07,240±23.3,1263±101,,3.71±1.29,39.37±5.44,0.003±0.003,0.05±0.02,1.04±0.34,0.014±0.003,26.53±3.81,1.71±2.54,200±48.7,303±72.4,35.56±6.36,0.80±0.11,,,,,
,S007,Crab (Pachygrapsus sp.),80.58,13.23,0.89,,,327,0.01,0.11,1.54,0.79,202,1783,,1.74,199,0.001,0.52,1.1,,66.77,4.04,208,286,280,2.49,,,,,
,S008,"Prawns, big (Macrobrachium rosenbergii)",77.43,19.24,0.52,,,380,,0.02,1.31,1.74,186,1826,,3.02,48.55,,0.69,0.78,,39.25,0.94,237,269,849,1.44,,,,,
,S009,"Prawns, small (Macrobrachium sp.)",82.58,13.07,0.78,,,297,0.01,0.03,0.54,1.74,207,1306,,8.14,67.99,0.001,0.14,0.87,,26.91,0.78,192,224,77.71,0.87,,,,,
,S010,Tiger prawns (Macrobrachium sp.),83.24,14.24,0.66,,,284,0.01,0.04,1.28,1.87,216,1875,,4.77,57.9,,0.39,0.84,,22.94,0.4,155,149,80.77,1.02,,,,,
"Soups, Sauces, and Gravies",T001,"Soup, bean with pork, canned, condensed",,5.88,4.42,,16.97,539.736,0.065,0.025,0.421,,0.031,,,,60,,0.0003,1.53,,33,,98,,,0.77,,,,,
,T002,"Soup, beef noodle, canned, condensed",,3.85,2.46,,7.16,280.328,0.055,0.047,0.849,,0.03,,,,12,,0.00011,0.88,,5,,37,,,1.23,,,,,
,T003,"Soup, cream of celery, canned, condensed",,1.32,4.46,,7.03,301.248,0.023,0.039,0.265,,0.01,,,,32,,0.000113,0.5,,5,,30,,,0.12,,,,,
,T004,"Soup, chicken, canned, chunky, ready-to-serve",,5.06,2.64,,6.88,297.064,0.034,0.069,1.76,,0.02,,,,10,,0.0001,0.69,,3,,45,,,0.4,,,,,
,T005,"Soup, chicken gumbo, canned, condensed",,2.1,1.14,,6.67,188.28,0.2,0.3,0.53,,0.05,,,,19,,0.0001,0.71,,3,,20,,,0.3,,,,,
,T006,"Soup, chunky chicken noodle, canned, ready-to-serve",,3.09,1.16,,4.46,171.544,0.018,0.02,1.196,,0.05,,,,11,,0.000028,0.35,,7,,36,,,0.17,,,,,
,T007,"Soup, vegetable beef, canned, prepared with equal volume water",,2.23,0.76,,4.06,129.704,0.015,0.02,0.412,,0.03,,,,8,,0.000077,0.45,,3,,16,,,0.62,,,,,
,T008,"Soup, cream of chicken, dry, mix, prepared with water",,0.68,2.04,,5.11,171.544,0.04,0.078,1,,0.02,,,,29,,0.0001,0.1,,2,,37,,,0.6,,,,,
,T009,"Soup, consomme with gelatin, dry, mix, prepared with water",,0.87,0.08,,0.78,29.288,0.047,0.07,0.506,,0.011,,,,5,,0.000022,0.09,,3,,6,,,0.02,,,,,
,T010,"Soup, tomato, dry, mix, prepared with water",,0.93,0.61,,7.17,158.992,0.105,0.175,0.926,,0.058,,,,29,,0.000034,0.18,,10,,33,,,0.13,,,,,
,T011,"Soup, ramen noodle, any flavor, dry",,10.17,17.59,,60.26,1840.96,0.448,0.255,5.401,,0.038,,,,21,,0.000126,4.11,,25,,115,,,0.6,,,,,
,T012,"Soup, beef and vegetables, canned, ready-to-serve",,3.18,1.16,,6.16,200.832,0.015,0.016,0.978,,0.126,,,,18,,0.000026,0.51,,10,,48,,,0.56,,,,,
Baked Products,UB01,"Biscuits, plain or buttermilk, dry mix",,8,15.4,,63.4,1790.752,0.575,0.437,4.542,,0.076,,,,179,,0.000154,2.77,,25,,585,,,0.6,,,,,
,UB02,"Biscuits, plain or buttermilk, refrigerated dough, higher fat",,6.66,10.58,,46.32,1284.488,0.391,0.29,3.308,,0.063,,,,51,,0.00009,2.48,,17,,470,,,0.5,,,,,
,UB03,"Bread, cornbread, dry mix, enriched (includes corn muffin mix)",,7,12.2,,69.5,1748.912,0.427,0.272,3.342,,0.128,,,,57,,0.000085,2.5,,24,,489,,,0.57,,,,,
,UB04,"Bread, wheat germ",,9.6,2.9,,48.3,1092.024,0.369,0.375,4.498,,0.079,,,,89,,0.000204,3.45,,28,,121,,,0.98,,,,,
,UB05,"Bread stuffing, cornbread, dry mix, prepared",,2.9,8.8,,21.9,748.936,0.117,0.092,1.247,,0.038,,,,26,,0.000069,0.94,,13,,34,,,0.23,,,,,
,UB06,"Cake, boston cream pie, commercially prepared",,2.4,8.5,,42.9,1054.368,0.408,0.27,0.191,,0.026,,,,23,,0.000042,0.38,,6,,49,,,0.16,,,,,
,UB07,"Cake, cherry fudge with chocolate frosting",,2.4,12.5,,38,1104.576,0.03,0.19,0.7,,0.06,,,,48,,0.000057,1.1,,19,,105,,,0.28,,,,,
,UB08,"Cake, chocolate, dry mix, pudding-type",,4.6,8.14,,80.16,1635.944,0.21,0.17,2.417,,0.031,,,,133,,0.000272,2.92,,41,,286,,,0.78,,,,,
,UB09,"Cake, white, prepared from recipe with coconut frosting",,4.4,10.3,,63.2,1489.504,0.128,0.189,1.063,,0.029,,,,90,,0.000067,1.16,,12,,70,,,0.33,,,,,
,UB10,"Coffeecake, cinnamon with crumb topping, dry mix, prepared",,5.5,9.6,,52.8,1330.512,0.167,0.175,1.519,,0.05,,,,136,,0.000149,1.43,,18,,215,,,0.45,,,,,
